IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
43.154.96.33,443,true,HKG,Asia Pacific,Hong Kong,74 ms,26411 kB/s
132.145.83.155,33799,true,ICN,Asia Pacific,Seoul,103 ms,24660 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,80 ms,23719 kB/s
129.154.212.181,44699,true,NRT,Asia Pacific,Tokyo,83 ms,22891 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,80 ms,21422 kB/s
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,91 ms,20705 kB/s
18.183.137.85,2083,true,LAX,North America,Los Angeles,69 ms,17636 kB/s
193.122.122.16,40377,true,LAX,North America,Los Angeles,78 ms,15667 kB/s
140.238.26.92,20855,true,LAX,North America,Los Angeles,81 ms,15459 kB/s
129.154.195.74,15000,true,SJC,North America,San Jose,76 ms,14715 kB/s
47.242.234.127,443,true,HKG,Asia Pacific,Hong Kong,62 ms,14014 kB/s
193.123.235.59,443,true,HKG,Asia Pacific,Hong Kong,94 ms,13607 kB/s
35.189.175.230,59793,true,TPE,Asia Pacific,Taipei,105 ms,12727 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,166 ms,12405 kB/s
154.197.121.13,8443,true,SJC,North America,San Jose,174 ms,12093 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,172 ms,11919 kB/s
4.193.57.231,500,true,SIN,Asia Pacific,Singapore,104 ms,11722 kB/s
47.242.60.161,443,true,HKG,Asia Pacific,Hong Kong,65 ms,10913 kB/s
174.136.205.41,50008,true,SJC,North America,San Jose,176 ms,10219 kB/s
185.212.62.26,27053,true,LHR,Europe,London,214 ms,10068 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,68 ms,9206 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,245 ms,9078 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,75 ms,9007 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,224 ms,8841 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,229 ms,8800 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,225 ms,8752 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,227 ms,8686 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,241 ms,8607 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,228 ms,8587 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,237 ms,8534 kB/s
